Timestamp,volData,currentData,batTempData,socData,sohData,motTempData
0,11.436,550.1,35,98,97.33,33.9
2,11.616,734.6,35,98,97.3,34
4,11.664,812.9,35,98,97.33,33.9
6,11.42,546.6,35,97.5,97.3,34
8,11.244,618.6,35,97.5,97.33,33.9
10,11.036,1054.7,35,97.5,97.33,33.9
12,11.596,683.6,35,97.5,97.36,33.8
14,11.692,587,35,97.5,97.33,33.9
16,11.704,815.9,36,97.5,97.27,34.1
18,11.692,634.3,36,97.5,97.36,33.8
20,11.488,879.2,36,97,97.33,33.9
22,11.456,544.4,36,97,97.3,34
24,10.908,967.9,36,97,97.3,34
26,11.576,779.6,36,97,97.33,33.9
28,11.176,273.1,36,96.5,97.33,33.9
30,11.052,431.3,36,96.5,97.33,33.9
32,11.616,546.8,36,96.5,97.39,33.7
34,11.112,452.1,36,96.5,97.3,34
36,11.536,702.8,36,96.5,97.33,33.9
38,11.132,451.5,36,96.5,97.33,33.9
40,11.104,565,36,96.5,97.33,33.9
42,11.708,621.1,36,96.5,97.33,33.9
44,11.148,665.9,36,96,97.33,33.9
46,11.256,599.7,36,96,97.3,34
48,11.416,397.9,36,96,97.33,33.9
50,10.976,710.1,36,96,97.33,33.9
52,10.964,510.3,36,95.5,97.3,34
54,11.528,648,36,95.5,97.33,33.9
56,11.156,663.3,36,95.5,97.39,33.7
58,11.528,591.8,36,95.5,97.3,34
60,11.624,821.3,36,95.5,97.33,33.9
62,11.448,691,36,95.5,97.21,34.3
64,11.464,859.9,36,95.5,97.24,34.2
66,11.52,493.7,36,95.5,97.27,34.1
68,11.176,495.4,36,95,97.33,33.9
70,11.508,686.5,36,95,97.3,34
72,11.608,814.7,36,95,97.3,34
74,11.596,609.9,36,95,97.33,33.9
76,11.248,591.4,36,95,97.36,33.8
78,11.244,543.2,36,95,97.33,33.9
80,11.144,442.9,36,95,97.3,34
82,11.56,717.8,36,95,97.3,34
84,11.144,541.6,36,95,97.3,34
86,11.368,670.7,36,95,97.3,34
88,11.376,600.2,36,95,97.3,34
90,11.516,722.4,36,95,97.33,33.9
92,11.528,742.7,36,95,97.3,34
94,11.3,570,36,95,97.3,34
96,11.604,668.6,36,95,97.33,33.9
98,11.256,554.9,36,95,97.27,34.1
100,11.348,876.3,36,95,97.24,34.2
102,11.5,670.6,36,95,97.33,33.9
104,11.588,664.1,36,95,97.33,33.9
106,11.248,482,36,94.5,97.3,34
108,11.312,610.9,36,94.5,97.33,33.9
110,11.264,575,36,94.5,97.27,34.1
112,11.068,902.4,36,94.5,97.33,33.9
114,11.036,446.5,36,94,97.3,34
116,11.484,317.9,36,94,97.27,34.1
118,10.956,894.5,36,94,97.3,34
120,11.304,494.7,36,94,97.3,34
122,11.212,458.1,36,94,97.33,33.9
124,11.56,872.1,36,94,97.3,34
126,11.576,732.2,36,94,97.27,34.1
128,11.412,635.7,36,94,97.24,34.2
130,11.308,595.3,36,93.5,97.3,34
132,11.652,641.6,36,93.5,97.39,33.7
134,11.288,576,36,93.5,97.27,34.1
136,11.144,191.9,36,93.5,97.27,34.1
138,11.072,423.9,36,93,97.27,34.1
140,11.496,727.7,36,93,97.24,34.2
142,11.468,642.1,36,93,97.33,33.9
144,11.232,589.2,36,93,97.3,34
146,11.608,675.9,36,93,97.27,34.1
148,11.356,485.8,36,93,97.3,34
150,11.268,544.2,36,93,97.24,34.2
152,11.396,324.8,36,93,97.27,34.1
154,11.48,570.6,36,93,97.24,34.2
156,11.404,716.5,36,93,97.21,34.3
158,11.056,355.3,36,92.5,97.27,34.1
160,11.14,741.9,36,92.5,97.27,34.1
162,10.852,949,36,92.5,97.27,34.1
164,11.064,950.2,36,92.5,97.27,34.1
166,11.36,555.1,36,92.5,97.27,34.1
168,11.168,594.3,36,92.5,97.27,34.1
170,11.156,442.1,36,92.5,97.27,34.1
172,11.34,924.2,36,92.5,97.24,34.2
174,11.312,513.4,36,92.5,97.24,34.2
176,11.488,695.2,36,92.5,97.24,34.2
178,11.644,772.9,36,92.5,97.27,34.1
180,11.332,385.8,36,92,97.15,34.5
182,11.14,601.3,36,92,97.27,34.1
184,11.54,661,36,92,97.24,34.2
186,11.42,519.3,36,92,97.27,34.1
188,11.204,585.2,36,91.5,97.27,34.1
190,11.244,440.8,36,91.5,97.24,34.2
192,11.576,108.2,36,91.5,97.33,33.9
194,11.12,481.2,36,91,97.27,34.1
196,11.416,453,36,91,97.24,34.2
198,11.468,430.3,36,91,97.21,34.3
200,11.324,649.4,36,91,97.24,34.2
202,11.288,474.2,37,91,97.18,34.4
204,11.204,699.9,37,91,97.24,34.2
206,11.432,652,37,91,97.24,34.2
208,11.176,304.5,37,90.5,97.21,34.3
210,11.336,761.4,37,90.5,97.27,34.1
212,10.98,331.3,37,90.5,97.24,34.2
214,11.044,466.7,37,90.5,97.24,34.2
216,10.912,660.9,37,90,97.24,34.2
218,11.476,623.9,37,90,97.09,34.7
220,11.344,768,37,90,97.24,34.2
222,11.256,544.4,37,90,97.24,34.2
224,11.512,798.6,37,90,97.24,34.2
226,11.356,460.6,37,90,97.24,34.2
228,11.044,642.1,37,90,97.15,34.5
230,11.212,447,37,90,97.3,34
232,11.1,776.4,37,89.5,97.24,34.2
234,11,353.4,37,89.5,97.24,34.2
236,11.484,722,37,89.5,97.24,34.2
238,11.516,706.4,37,89.5,97.15,34.5
240,11.368,660.5,37,89.5,97.24,34.2
242,10.968,373.8,37,89.5,97.27,34.1
244,11.092,526,37,89,97.24,34.2
246,11.348,517.7,37,89,97.24,34.2
248,11.232,725,37,89,97.18,34.4
250,11.132,512.8,37,89,97.33,33.9
252,11.248,858.4,37,89,97.24,34.2
254,11.292,975.8,37,89,97.24,34.2
256,11.048,391.9,37,89,97.27,34.1
258,11.368,424.7,37,89,97.24,34.2
260,11.132,581.6,37,88.5,97.21,34.3
262,11.1,400.8,37,88.5,97.21,34.3
264,11.204,613.1,37,88.5,97.24,34.2
266,11.256,562.2,37,88.5,97.24,34.2
