Timestamp,volData,currentData,batTempData,socData,sohData,motTempData,speedData
0,1.24395,2.19489,28,74,82.92969,29.7,59
2,1.3084,1.84649,28.5,80,87.22656,29.8,61
4,1.37607,1.48068,28,87,91.73828,29.8,59
6,1.41797,1.25422,28,91,94.53125,29.7,60
8,1.27617,2.02069,28,77,85.07812,29.4,62
10,1.3084,1.84649,29.3,80,87.22656,30.7,63
12,1.24395,2.19489,28,74,82.92969,29.6,59
14,1.24395,2.19489,28.5,74,82.92969,29.4,63
16,1.26973,2.05553,28.5,76,84.64844,29.3,61
18,1.3084,1.84649,28.9,80,87.22656,30.5,63
20,1.27939,2.00327,28.5,77,85.29297,29.2,59
22,1.28262,1.98585,28.5,78,85.50781,29.3,61
24,1.27939,2.00327,29.3,77,85.29297,30.7,62
26,1.3084,1.84649,28.9,80,87.22656,30.5,63
28,1.24395,2.19489,28.5,74,82.92969,29.4,63
30,1.30518,1.86391,28.5,80,87.01172,29.4,59
32,1.53721,0.60969,28,103,102.48047,30.2,61
34,1.41797,1.25422,28,91,94.53125,29.7,63
36,1.4502,1.08003,27.6,95,96.67969,28.8,63
38,1.27939,2.00327,29.3,77,85.29297,30.7,62
40,1.24717,1.98585,28.5,78,85.50781,29.3,60
42,1.40508,1.3239,28,90,93.67188,29.9,63
44,1.39541,1.37616,28,89,93.02734,30.3,59
46,1.23789,2.19489,28,74,82.92969,29.6,59
48,1.28262,1.98585,28.5,78,85.50781,29.2,61
50,1.24717,2.17747,28.5,74,83.14453,29.4,59
52,1.63389,0.0871,28,113,108.92578,30.9,62
54,1.30518,1.86391,28.5,80,87.01172,30,60
56,1.36963,1.51552,28,86,91.30859,29.9,61
58,1.44697,1.09745,27.6,94,96.46484,29.4,61
60,1.4083,1.30648,28,90,93.88672,29.9,62
62,1.45342,1.06261,27.6,95,96.89453,28.8,63
64,1.28262,1.98585,28.5,78,85.50781,29.2,59
66,1.28262,1.98585,28.5,78,85.50781,29.2,60
68,1.46953,0.97551,27.6,96,97.96875,28.8,63
70,1.64678,0.60969,28,112,109.78516,30.1,59
72,1.28584,1.96843,28.5,78,85.72266,29.1,62
74,1.27617,2.02069,29.3,77,85.07812,30.7,63
76,1.60166,0.2613,27.6,110,106.77734,29.5,62
78,1.27617,2.02069,28,77,85.07812,29.5,60
80,1.40186,1.34132,28,90,93.45703,29.9,63
82,1.3084,1.84649,28.9,80,87.22656,30.4,60
84,1.28262,1.98585,28.5,78,85.50781,29.2,60
86,1.27939,2.00327,28.5,77,85.29297,29.2,61
88,1.25039,2.16005,28,75,83.35938,29.5,62
90,1.4792,0.92325,28,97,98.61328,30.6,62
92,1.40186,1.34132,28,90,93.45703,29.9,61
94,1.3084,1.84649,28.9,80,87.22656,30.4,60
96,1.41475,1.27164,28,91,94.31641,29.8,62
98,1.51143,0.74905,28,101,100.76172,29.9,62
100,1.30518,1.86391,28.5,80,87.01172,29.9,61
102,1.60811,0.22646,28,110,107.20703,30.3,63
104,1.3084,1.84649,28.9,80,87.22656,30.3,60
106,1.27939,2.00327,28,77,85.29297,29.6,59
108,1.23789,2.19489,28,74,82.92969,29.6,59
110,1.51143,0.74905,28,101,100.76172,29.9,62
112,1.27617,2.02069,28,77,85.07812,29.4,59
114,1.24395,2.02069,28,76,85.07812,29.4,63
116,1.3084,1.84649,28.9,80,87.22656,30.4,61
118,1.27939,2.00327,28.5,77,85.29297,29.2,59
120,1.28262,1.98585,28.1,78,85.50781,29.5,61
122,1.30518,1.86391,28.5,80,87.01172,29.5,60
124,1.27939,2.00327,28,77,85.29297,29.5,61
126,1.54688,0.55743,27.6,104,103.125,29.4,63
128,1.28262,1.98585,28.5,78,85.50781,29.2,60
130,1.43408,1.16712,27.6,93,95.60547,29.3,59
132,1.60488,0.24388,27.6,110,106.99219,30,62
134,1.3084,1.84649,29.3,80,87.22656,30.7,63
136,1.41797,1.25422,27.6,91,94.53125,29,63
138,1.28262,1.98585,28.5,78,85.50781,29.3,61
140,1.63711,0.06968,28,113,109.14062,30.9,63
142,1.38252,1.44584,27.6,88,92.16797,29,62
144,1.24395,2.19489,28,74,82.92969,29.6,61
146,1.26973,2.05553,28.5,76,84.64844,29.5,62
148,1.28262,1.98585,28.5,78,85.50781,29.3,62
150,1.28262,1.98585,28.5,78,85.50781,29.3,60
