Timestamp,volData,currentData,batTempData,socData,sohData,motTempData,speedData
0,5.4758,0.5487225,28,72.25273603,82.92969,29.7,59
2,5.7336,0.4616225,28.5,80.19897309,87.22656,29.8,61
4,6.00428,0.37017,28,84.02662601,91.73828,29.8,59
6,6.17188,0.313555,28,95.75446516,94.53125,29.7,60
8,5.60468,0.5051725,28,73.92235779,85.07812,29.4,62
10,5.7336,0.4616225,29.3,83.39802255,87.22656,30.7,63
12,5.4758,0.5487225,28,78.91970775,82.92969,29.6,59
14,5.4758,0.5487225,28.5,76.10846552,82.92969,29.4,63
16,5.57892,0.5138825,28.5,77.47953911,84.64844,29.3,61
18,5.7336,0.4616225,28.9,82.80981712,87.22656,30.5,63
20,5.61756,0.5008175,28.5,72.20417937,85.29297,29.2,59
22,5.63048,0.4964625,28.5,75.12742221,85.50781,29.3,61
24,5.61756,0.5008175,29.3,74.60729541,85.29297,30.7,62
26,5.7336,0.4616225,28.9,86.63461092,87.22656,30.5,63
28,5.4758,0.5487225,28.5,75.95572073,82.92969,29.4,63
30,5.72072,0.4659775,28.5,84.29584864,87.01172,29.4,59
32,6.64884,0.1524225,28,97.56624913,102.48047,30.2,61
34,6.17188,0.313555,28,97.93050972,94.53125,29.7,63
36,6.3008,0.2700075,27.6,92.10047552,96.67969,28.8,63
38,5.61756,0.5008175,29.3,74.30026426,85.29297,30.7,62
40,5.48868,0.4964625,28.5,75.38217464,85.50781,29.3,60
42,6.12032,0.330975,28,94.23669646,93.67188,29.9,63
44,6.08164,0.34404,28,83.3603913,93.02734,30.3,59
46,5.45156,0.5487225,28,78.14382926,82.92969,29.6,59
48,5.63048,0.4964625,28.5,78.70094364,85.50781,29.2,61
50,5.48868,0.5443675,28.5,78.29305045,83.14453,29.4,59
52,7.03556,0.021775,28,95.16163924,108.92578,30.9,62
54,5.72072,0.4659775,28.5,83.26875934,87.01172,30,60
56,5.97852,0.37888,28,81.61526977,91.30859,29.9,61
58,6.28788,0.2743625,27.6,91.53500145,96.46484,29.4,61
60,6.1332,0.32662,28,94.16452637,93.88672,29.9,62
62,6.31368,0.2656525,27.6,97.56869211,96.89453,28.8,63
64,5.63048,0.4964625,28.5,73.33056116,85.50781,29.2,59
66,5.63048,0.4964625,28.5,75.14908052,85.50781,29.2,60
68,6.37812,0.2438775,27.6,93.92499144,97.96875,28.8,63
70,7.08712,0.1524225,28,95.03836174,109.78516,30.1,59
72,5.64336,0.4921075,28.5,75.3837579,85.72266,29.1,62
74,5.60468,0.5051725,29.3,75.4940454,85.07812,30.7,63
76,6.90664,0.065325,27.6,96.80726141,106.77734,29.5,62
78,5.60468,0.5051725,28,70.75938946,85.07812,29.5,60
80,6.10744,0.33533,28,96.87517672,93.45703,29.9,63
82,5.7336,0.4616225,28.9,86.04122738,87.22656,30.4,60
84,5.63048,0.4964625,28.5,79.33517662,85.50781,29.2,60
86,5.61756,0.5008175,28.5,76.54700262,85.29297,29.2,61
88,5.50156,0.5400125,28,79.37028949,83.35938,29.5,62
90,6.4168,0.2308125,28,91.46075948,98.61328,30.6,62
92,6.10744,0.33533,28,98.64210705,93.45703,29.9,61
94,5.7336,0.4616225,28.9,89.66513515,87.22656,30.4,60
96,6.159,0.31791,28,99.18944977,94.31641,29.8,62
98,6.54572,0.1872625,28,96.21302477,100.76172,29.9,62
100,5.72072,0.4659775,28.5,85.82968306,87.01172,29.9,61
102,6.93244,0.056615,28,94.45906158,107.20703,30.3,63
104,5.7336,0.4616225,28.9,84.27346146,87.22656,30.3,60
106,5.61756,0.5008175,28,70.96908076,85.29297,29.6,59
108,5.45156,0.5487225,28,75.80443765,82.92969,29.6,59
110,6.54572,0.1872625,28,94.78186283,100.76172,29.9,62
112,5.60468,0.5051725,28,78.39815797,85.07812,29.4,59
114,5.4758,0.5051725,28,75.48820993,85.07812,29.4,63
116,5.7336,0.4616225,28.9,82.39889645,87.22656,30.4,61
118,5.61756,0.5008175,28.5,71.21134886,85.29297,29.2,59
120,5.63048,0.4964625,28.1,79.07771843,85.50781,29.5,61
122,5.72072,0.4659775,28.5,86.69599376,87.01172,29.5,60
124,5.61756,0.5008175,28,78.4735932,85.29297,29.5,61
126,6.68752,0.1393575,27.6,98.66139864,103.125,29.4,63
128,5.63048,0.4964625,28.5,78.60663182,85.50781,29.2,60
130,6.23632,0.29178,27.6,92.35962839,95.60547,29.3,59
132,6.91952,0.06097,27.6,96.32964787,106.99219,30,62
134,5.7336,0.4616225,29.3,89.67609263,87.22656,30.7,63
136,6.17188,0.313555,27.6,93.6798807,94.53125,29,63
138,5.63048,0.4964625,28.5,72.98821223,85.50781,29.3,61
140,7.04844,0.01742,28,96.06554666,109.14062,30.9,63
142,6.03008,0.36146,27.6,81.22169285,92.16797,29,62
144,5.4758,0.5487225,28,73.14438169,82.92969,29.6,61
146,5.57892,0.5138825,28.5,73.2945554,84.64844,29.5,62
148,5.63048,0.4964625,28.5,71.08726822,85.50781,29.3,62
150,5.63048,0.4964625,28.5,73.79872723,85.50781,29.3,60
152,5.72072,0.4659775,28.5,85.92251997,87.01172,29.4,59
154,6.91952,0.06097,27.6,94.00893204,106.99219,30,62
156,5.48868,0.5443675,28,74.27302478,83.14453,29.5,62
158,5.72072,0.4659775,28.5,83.14471641,87.01172,29.2,63
160,5.57892,0.5138825,28,70.59289447,84.65855,29.5,62
162,5.63048,0.4964625,28.5,77.12904057,85.50781,29.1,63
164,6.90664,0.065325,27.6,98.2396139,106.77734,29.5,62
166,5.48868,0.5443675,28.5,71.3733161,83.14453,29.4,62
168,5.57892,0.5138825,28.5,70.50100761,84.64844,29.2,62
170,6.99688,0.03484,27.6,98.8964883,108.28125,29.5,60
172,5.4758,0.5487225,28,75.76205956,82.92969,29.7,59
