Timestamp,volData,currentData,batTempData,socData,sohData,motTempData,speedData
0,3.80955,0,30.7,72,90,34,123
2,3.84077,0.321290122,31.9,74,91,35,119
4,3.96568,0.320946924,31.7,83,94,0,113
6,3.79394,0.295387892,30.7,70,90,34,124
8,3.84077,0.299410719,31.9,69,89,33,112
10,3.93445,0.317353122,31.9,74,91,35,112
12,3.93445,0.319431977,30.9,70,90,34,116
14,3.85639,0.306202888,31.8,69,89,33,115
16,3.85639,0.29004862,31.8,74,91,35,112
18,3.85639,0.322336423,31,70,90,34,113
20,3.80955,0.326326944,31.8,69,89,33,117
22,3.93445,0.310038365,31.8,74,91,35,120
24,3.80955,0.28345713,31.1,70,90,34,110
26,3.82516,0.294325955,31.1,70,90,34,112
28,3.85639,0.300424924,31.2,70,90,34,118
30,3.93445,0.327617094,31.9,74,91,35,120
32,3.82516,0.30193359,31.3,70,90,34,114
34,3.82516,0.294574232,31.8,73,91,35,123
36,3.77832,0.28773871,31.4,69,89,34,120
38,3.872,0.325115107,31.8,73,91,35,116
40,3.85639,0.294866126,31.5,69,89,34,112
42,3.85639,0.286594479,31.8,73,91,35,118
44,3.82516,0.280970351,31.6,69,89,34,125
46,3.93445,0.298743235,31.8,73,91,35,122
48,3.88761,0.293884269,31.6,69,89,34,123
50,3.91884,0.303125192,31.8,73,91,35,110
52,3.90323,0.301506707,31.7,69,89,34,117
54,3.91884,0.327905761,31.7,69,89,34,117
56,3.91884,0.292087716,31.8,73,91,35,117
58,3.77832,0.32475741,31.7,69,89,34,120
60,3.80955,0.318731622,31.7,69,89,33,123
62,3.85639,0.324177081,31.8,73,91,35,120
64,3.88761,0.319283112,31.7,69,89,33,125
66,3.91884,0.305681962,31.8,69,89,33,121
68,3.85639,0.297035156,31.8,73,91,35,115
70,3.85639,0.29709031,31.8,69,89,33,116
72,3.88761,0.280981697,31.8,69,89,33,121
74,3.84077,0.312099049,31.8,73,91,35,124
76,3.90323,0.288066516,31.8,69,89,33,120
78,3.90323,0.295062199,31.8,69,89,33,112
80,3.80955,0.290370772,31.8,72,90,35,114
82,3.80955,0.303287414,31.8,69,89,33,125
84,3.80955,0.302452424,31.8,72,90,35,122
86,3.88761,0.317286041,31.8,69,89,33,115
88,3.872,0.302120607,31.8,72,90,35,110
90,3.88761,0.31573613,31.8,69,89,33,113
92,3.82516,0.3020697,31.8,72,90,35,120
94,3.91884,0.308779873,31.8,69,89,33,123
96,3.88761,0.288970322,32.2,72,90,35,119
98,3.90323,0.311595829,31.9,69,89,33,115
100,3.93445,0.328051018,32.5,72,90,35,119
102,3.88761,0.29831316,31.9,69,89,33,119
104,3.93445,0.283070111,32.6,72,90,35,125
106,3.79394,0.308243186,31.9,69,89,33,120
108,3.90323,0.282048843,32.8,72,90,35,118
110,3.91884,0.321924297,31.9,69,89,33,119
112,3.82516,0.281138438,32.9,72,90,35,120
114,3.80955,0.281957996,31.9,69,89,33,120
116,3.91884,0.284958358,32.9,72,90,35,112
