Timestamp,volData,currentData,batTempData,socData,sohData,motTempData
0,11.276,637.2,36,86.20833,97.66,32.8
2,11.412,688.2,36,85.20833,97.63,32.9
4,10.948,399.7,36,85.20833,97.6,33
6,10.824,609.6,36,84.20833,97.6,33
8,11.492,548,36,84.20833,97.6,33
10,11.384,844.6,36,84.20833,97.6,33
12,11.492,765.1,36,84.20833,97.63,32.9
14,11.74,937,36,84.20833,97.63,32.9
16,11.416,735.6,36,84.20833,97.66,32.8
18,11.504,607.3,36,84.20833,97.45,33.5
20,10.952,965.6,36,84.20833,97.6,33
22,11.284,392.7,36,83.20833,97.63,32.9
24,11.448,485.4,36,83.20833,97.54,33.2
26,11.436,670.1,36,83.20833,97.63,32.9
28,11.396,492.1,36,82.20833,97.63,32.9
30,11.3,639.2,36,82.20833,97.63,32.9
32,11.368,566.3,36,81.20833,97.63,32.9
34,10.992,723.1,36,80.20833,97.6,33
36,11.856,0.8,36,80.20833,97.63,32.9
38,11.864,0.5,36,80.20833,97.66,32.8
40,11.528,824.3,37,79.20833,97.63,32.9
42,11.16,465.9,37,78.20833,97.48,33.4
44,11.064,656.8,37,77.20833,97.54,33.2
46,11.228,623,37,77.20833,97.63,32.9
48,11.412,729.4,37,77.20833,97.6,33
50,11.288,588.2,37,77.20833,97.6,33
52,11.244,892.2,37,77.20833,97.63,32.9
54,11.332,700.6,37,77.20833,97.6,33
56,11.092,482.4,37,77.20833,97.63,32.9
58,11.24,536.3,37,77.20833,97.63,32.9
60,11.044,436.9,37,76.20833,97.6,33
62,11.424,548.6,37,76.20833,97.6,33
64,11.348,475.6,37,76.20833,97.6,33
66,11.028,681.2,37,75.20833,97.63,32.9
68,11.264,599.3,37,75.20833,97.66,32.8
70,11.096,677.8,37,75.20833,97.6,33
72,10.972,319.2,37,74.20833,97.6,33
74,11.22,740.2,37,74.20833,97.6,33
76,11.336,757,37,74.20833,97.63,32.9
78,11.264,493.2,37,74.20833,97.72,32.6
80,10.992,370,37,74.20833,97.6,33
82,11.344,656.6,37,74.20833,97.63,32.9
84,11.032,322.5,37,73.20833,97.63,32.9
86,11.64,715.1,37,73.20833,97.6,33
88,11.108,486,37,73.20833,97.69,32.7
90,11.048,406.1,37,73.20833,97.63,32.9
92,11.224,459.6,37,73.20833,97.63,32.9
94,11.304,765.2,37,73.20833,97.6,33
96,10.816,575.5,37,72.20833,97.6,33
98,12.52,0.4,35,76.87499,97.75,32.5
100,11.232,535.7,37,72.20833,97.63,32.9
102,12.488,0.8,35,76.87499,97.66,32.8
104,12.452,0.7,35,76.87499,97.63,32.9
106,11.172,719.1,37,72.20833,97.66,32.8
108,11.26,558.5,37,72.20833,97.63,32.9
110,11.08,374.6,37,72.20833,97.63,32.9
112,11.364,790.7,37,72.20833,97.6,33
114,11.472,427.2,35,75.87499,97.72,32.6
116,11.476,725.4,37,72.20833,97.6,33
118,12.548,0.2,35,75.87499,97.63,32.9
120,11.264,617.8,37,72.20833,97.63,32.9
122,11.96,756,35,75.87499,97.66,32.8
124,11.416,536.9,37,71.20833,97.63,32.9
126,11.752,379.2,35,75.87499,97.66,32.8
128,11.076,490.6,37,71.20833,97.66,32.8
130,11.848,892.3,35,75.87499,97.63,32.9
132,11.612,628.3,37,71.20833,97.66,32.8
134,12.004,788,35,75.87499,97.66,32.8
136,11.312,872.7,37,70.20833,97.66,32.8
138,11.824,650.8,35,75.87499,97.66,32.8
140,11.448,776.2,38,70.20833,97.6,33
142,11.168,551.6,38,69.20833,97.66,32.8
144,11.136,609.1,38,69.20833,97.6,33
146,11.664,493.1,35,74.87499,97.66,32.8
148,11.412,748.6,38,69.20833,97.6,33
150,10.908,814.9,38,69.20833,97.66,32.8
152,11.296,557.9,35,73.87499,97.63,32.9
154,11.388,846.2,38,69.20833,97.66,32.8
156,11.448,948.6,35,73.87499,97.63,32.9
158,11.292,793.8,38,68.20833,97.63,32.9
160,11.724,546.3,35,73.87499,97.63,32.9
162,11.292,762.7,38,68.20833,97.63,32.9
164,11.244,515.3,38,68.20833,97.66,32.8
166,11.244,569.4,38,67.20833,97.6,33
168,11.908,811.5,35,73.87499,97.48,33.4
170,11.22,632.4,38,67.20833,97.63,32.9
172,11.068,912.2,38,67.20833,97.6,33
174,11.176,768.9,38,66.20833,97.63,32.9
176,11.42,826.1,38,66.20833,97.63,32.9
178,11.024,460.2,38,66.20833,97.63,32.9
180,11.3,476.2,38,66.20833,97.63,32.9
182,10.964,852.3,38,66.20833,97.63,32.9
184,11.156,553.2,38,66.20833,97.66,32.8
186,11.22,585.3,38,65.20833,97.48,33.4
188,11.176,470.4,38,65.20833,97.63,32.9
190,10.78,590.9,38,64.20833,97.6,33
192,11.32,853.6,38,64.20833,97.66,32.8
194,11.012,804.7,38,64.20833,97.6,33
196,11.388,767.2,38,64.20833,97.63,32.9
198,11.396,762.1,38,64.20833,97.63,32.9
200,11.188,631.4,38,64.20833,97.63,32.9
202,11.464,734,38,64.20833,97.6,33
204,11.388,705.7,38,64.20833,97.63,32.9
206,10.944,721.2,38,64.20833,97.63,32.9
208,11.452,734.3,38,63.20833,97.63,32.9
210,10.896,548.8,38,63.20833,97.66,32.8
212,11.264,488.8,38,63.20833,97.6,33
214,11.396,821.9,38,62.20833,97.6,33
216,10.896,908.5,38,62.20833,97.63,32.9
218,10.976,366.7,38,62.20833,97.69,32.7
220,10.952,758.9,38,61.20833,97.6,33
222,11.172,588.6,38,61.20833,97.66,32.8
224,11.304,617.8,38,61.20833,97.63,32.9
226,11.192,592.8,38,61.20833,97.63,32.9
228,11.308,691.7,38,61.20833,97.6,33
230,11.544,451.3,38,61.20833,97.69,32.7
232,11.144,586,38,61.20833,97.63,32.9
234,11.128,535.3,38,61.20833,97.54,33.2
236,11.116,960.2,38,60.20833,97.63,32.9
238,11.404,662.5,38,60.20833,97.63,32.9
240,11.304,749.9,38,60.20833,97.63,32.9
242,11.408,747.7,38,60.20833,97.63,32.9
244,11.34,938.1,38,60.20833,97.57,33.1
246,11.284,799.6,38,60.20833,97.63,32.9
248,11.252,658.8,38,60.20833,97.63,32.9
250,11.296,585,38,59.20833,97.63,32.9
252,11.312,703.1,38,59.20833,97.48,33.4
254,11.1,785.8,38,59.20833,97.63,32.9
256,11.232,623.6,38,58.20833,97.63,32.9
258,11.016,461.4,38,58.20833,97.54,33.2
260,11.188,685.5,38,58.20833,97.69,32.7
262,10.7,826.6,38,57.20833,97.63,32.9
264,11.236,754.2,38,57.20833,97.63,32.9
266,11.324,874.6,38,57.20833,97.69,32.7
268,11.128,773.1,38,57.20833,97.66,32.8
270,11.156,902.7,38,57.20833,97.63,32.9
272,11.116,564.1,38,57.20833,97.63,32.9
274,11.016,411.7,38,56.20833,97.66,32.8
276,11.288,573.6,38,56.20833,97.63,32.9
278,11.092,791,38,56.20833,97.66,32.8
280,11.216,324.9,38,56.20833,97.66,32.8
282,11.096,686,38,56.20833,97.63,32.9
284,11.456,906.7,38,56.20833,97.63,32.9
286,11.424,683.9,38,56.20833,97.63,32.9
288,11.388,734.6,38,56.20833,97.6,33
290,11.364,588.5,38,55.20833,97.63,32.9
292,10.964,644.9,38,54.20833,97.63,32.9
294,11.668,330.3,38,54.20833,97.63,32.9
296,11.32,658.3,38,54.20833,97.63,32.9
298,11.3,764.3,38,54.20833,97.51,33.3
300,11.06,525.3,38,54.20833,97.6,33
302,11.2,651.7,38,53.20833,97.63,32.9
304,11.244,644.7,38,53.20833,97.63,32.9
306,11.248,515.5,38,53.20833,97.6,33
308,11.3,598.4,38,53.20833,97.6,33
310,11.304,678.3,38,53.20833,97.57,33.1
312,11.044,407.4,38,53.20833,97.6,33
314,11.036,450.4,38,53.20833,97.57,33.1
316,11.064,728.5,38,52.20833,97.6,33
318,11.192,856.8,38,52.20833,97.57,33.1
320,11.28,632.5,38,52.20833,97.57,33.1
322,11.224,974.6,38,52.20833,97.63,32.9
324,11.168,530.4,38,52.20833,97.6,33
326,10.94,415.6,38,51.20833,97.6,33
328,11.132,842.1,38,51.20833,97.57,33.1
330,10.976,373.1,38,51.20833,97.6,33
332,11.356,548.8,38,51.20833,97.6,33
334,11.78,352.8,38,51.20833,97.6,33
336,10.664,1014.4,38,51.20833,97.6,33
338,11.184,776,38,50.20833,97.63,32.9
340,11.176,559.5,38,50.20833,97.6,33
342,10.828,355.3,38,50.20833,97.69,32.7
344,10.664,709.4,38,49.20833,97.6,33
346,11.268,504,38,49.20833,97.6,33
348,11.132,606.6,38,49.20833,97.6,33
350,11.252,549.3,38,49.20833,97.6,33
352,11.496,544.2,38,49.20833,97.6,33
354,11.116,571.8,38,49.20833,97.6,33
356,11.236,730.3,38,48.20833,97.63,32.9
358,10.976,523.8,38,48.20833,97.6,33
360,10.796,790.1,38,48.20833,97.6,33
362,11.244,718.2,38,47.20833,97.57,33.1
364,11.228,634.5,38,47.20833,97.6,33
366,11.344,704.3,38,47.20833,97.6,33
368,10.896,411.2,38,46.20833,97.6,33
370,11.116,540.1,38,46.20833,97.6,33
372,11.216,710.5,38,46.20833,97.57,33.1
374,11.02,552.3,38,46.20833,97.6,33
376,10.908,768.9,38,46.20833,97.6,33
378,11.124,423.3,38,46.20833,97.6,33
380,10.816,669.2,38,45.20833,97.57,33.1
382,11.144,907.8,38,45.20833,97.57,33.1
384,10.912,624.6,38,45.20833,97.54,33.2
386,11.06,573.7,38,45.20833,97.57,33.1
388,11.12,556.6,38,45.20833,97.57,33.1
390,11.1,524.1,38,45.20833,97.6,33
392,11.308,848.7,38,45.20833,97.54,33.2
394,11.176,680.4,38,45.20833,97.63,32.9
396,11.3,739.7,38,45.20833,97.57,33.1
398,11.172,668.9,38,44.20833,97.6,33
400,11.112,579,38,44.20833,97.57,33.1
402,11.108,578.7,38,44.20833,97.54,33.2
404,10.864,563.5,38,43.20833,97.57,33.1
406,10.844,446.3,38,43.20833,97.63,32.9
408,11.06,446.5,38,43.20833,97.63,32.9
410,11.168,560.4,38,43.20833,97.57,33.1
412,11.048,598.6,38,43.20833,97.54,33.2
414,11.008,637.6,38,42.20833,97.54,33.2
416,11.08,547.1,38,42.20833,97.54,33.2
418,10.88,414.7,38,42.20833,97.57,33.1
420,11.172,773,38,42.20833,97.57,33.1
422,10.64,1064.1,38,42.20833,97.48,33.4
424,10.916,499.4,38,40.20833,97.54,33.2
426,11.044,959.6,38,40.20833,97.54,33.2
428,10.74,435.7,38,39.20833,97.51,33.3
430,11.14,502.5,38,39.20833,97.54,33.2
432,10.772,347.6,38,39.20833,97.6,33
434,11.084,785.7,38,39.20833,97.54,33.2
436,10.988,537,38,39.20833,97.54,33.2
438,11.116,603.1,38,39.20833,97.51,33.3
440,11.316,768.7,38,39.20833,97.54,33.2
442,10.936,467.6,38,39.20833,97.51,33.3
444,11.2,696.6,38,39.20833,97.51,33.3
446,10.952,877.1,38,38.20833,97.48,33.4
448,11.06,783,38,38.20833,97.51,33.3
450,10.928,470.7,38,38.20833,97.48,33.4
452,11.236,495.5,38,38.20833,97.48,33.4
454,11.076,695.6,38,38.20833,97.48,33.4
456,10.968,650.8,38,37.20833,97.48,33.4
458,11.112,662.9,38,37.20833,97.48,33.4
460,11.364,806.1,38,37.20833,97.45,33.5
462,10.968,616.2,38,37.20833,97.48,33.4
464,10.784,1001.7,38,37.20833,97.54,33.2
466,11.128,603.4,38,37.20833,97.48,33.4
468,11.16,811,38,37.20833,97.45,33.5
470,11.14,774.4,38,37.20833,97.48,33.4
472,11.196,764.7,38,37.20833,97.51,33.3
474,10.86,335.1,38,36.20833,97.48,33.4
476,11.204,487.1,38,36.20833,97.48,33.4
478,10.92,362.7,38,36.20833,97.51,33.3
480,10.556,876.4,38,35.20833,97.51,33.3
482,11.168,811.5,38,35.20833,97.48,33.4
484,11.26,915.1,38,35.20833,97.57,33.1
486,10.708,371.3,38,35.20833,97.51,33.3
488,11.004,578.7,38,35.20833,97.54,33.2
490,10.656,896.3,38,35.20833,97.48,33.4
492,11.224,754.6,38,35.20833,97.54,33.2
494,10.972,795.9,38,35.20833,97.51,33.3
496,11.268,526.7,38,35.20833,97.51,33.3
498,11.28,551.2,38,35.20833,97.57,33.1
500,11.392,583.2,38,35.20833,97.51,33.3
502,11.06,548.9,38,35.20833,97.51,33.3
504,11.036,459.7,38,34.20833,97.51,33.3
506,10.968,324.5,38,34.20833,97.54,33.2
508,11.156,535.3,38,34.20833,97.54,33.2
510,10.792,449.1,38,33.20833,97.54,33.2
512,10.772,576.7,38,33.20833,97.51,33.3
514,10.968,549.7,38,33.20833,97.51,33.3
516,11.072,532.3,38,33.20833,97.48,33.4
518,11.008,740.8,38,33.20833,97.57,33.1
520,10.744,950.9,38,33.20833,97.54,33.2
522,10.752,741.6,38,32.20833,97.54,33.2
524,11.244,352.8,38,32.20833,97.45,33.5
526,11.096,668.5,38,32.20833,97.54,33.2
528,10.932,534.4,38,31.20833,97.54,33.2
530,10.872,793.4,38,31.20833,97.54,33.2
532,10.984,611.3,38,31.20833,97.54,33.2
534,11.156,551.5,38,31.20833,97.54,33.2
536,11.252,315.8,38,31.20833,97.48,33.4
538,11.028,558.3,38,31.20833,97.54,33.2
540,10.944,530,38,30.20833,97.48,33.4
542,10.788,508.6,38,30.20833,97.54,33.2
544,10.744,446.2,38,30.20833,97.54,33.2
546,11.064,556.3,38,30.20833,97.51,33.3
548,11.232,733.5,38,30.20833,97.6,33
550,11.232,908.6,38,30.20833,97.48,33.4
552,11.256,679.1,38,30.20833,97.54,33.2
554,10.876,528.9,38,30.20833,97.54,33.2
556,11.02,566.8,38,29.20833,97.51,33.3
558,11.208,708.9,38,29.20833,97.51,33.3
560,11.084,610.9,38,29.20833,97.51,33.3
562,11.1,191.1,38,29.20833,97.48,33.4
564,11.076,533.6,39,29.20833,97.48,33.4
566,10.856,618.9,39,29.20833,97.54,33.2
568,10.936,552.1,39,28.20833,97.54,33.2
